Model,MAE,RMSE,R2
LightGBM,342.63155069010855,493.2539203655943,0.9880814773487197
XGBoost,353.5393866273366,504.56752252275436,0.9875284646932452
Random Forest,336.7146439020261,528.0956146707948,0.9863382461241659
Linear Regression,547.2459887823696,710.7520994975793,0.9752532804104411
